year,food_away_from_home,food_at_home
2002,2.5,1.3
2003,2.1,2.2
2004,3,3.8
2005,3.1,1.9
2006,3.1,1.7
2007,3.6,4.2
2008,4.4,6.4
2009,3.5,0.5
2010,1.3,0.3
2011,2.3,4.8
2012,2.8,2.5
2013,2.1,0.9
2014,2.4,2.4
2015,2.9,1.2
2016,2.6,-1.3
2017,2.3,-0.2
2018,2.6,0.4
2019,3.1,0.9
2020,3.4,3.5
2021,4.5,3.5
2022,7.7,11.4
